gender,monthly_income,utility_bill_average,repayment_history_pct,employment_length,default_status
Female,50704,1682.0,53.0,< 1 year,1
Male,38354,3107.0,62.0,1-3 years,1
Male,31780,1726.0,98.0,4-7 years,0
Female,70335,1811.0,68.0,8+ years,0
Male,46491,1948.0,46.0,4-7 years,0
Non-Binary,33452,3519.0,73.0,1-3 years,0
Male,77954,,92.0,8+ years,0
Female,68023,2217.0,70.0,1-3 years,0
Female,48546,2211.0,87.0,< 1 year,0
Male,46932,1998.0,99.0,8+ years,0
Female,50532,2518.0,29.0,1-3 years,1
Male,36111,,64.0,1-3 years,0
Female,70494,2946.0,73.0,< 1 year,0
Male,77885,2597.0,90.0,8+ years,0
Non-Binary,53497,1803.0,73.0,8+ years,0
Female,35395,2100.0,100.0,8+ years,0
Female,73858,3239.0,100.0,8+ years,0
Male,78743,2302.0,27.0,< 1 year,1
Non-Binary,62050,2988.0,,1-3 years,0
Non-Binary,50903,1867.0,95.0,4-7 years,0
Male,45949,4121.0,57.0,4-7 years,0
Non-Binary,53319,2147.0,64.0,1-3 years,0
Male,35863,860.0,67.0,< 1 year,0
Non-Binary,61148,2468.0,90.0,1-3 years,0
Male,72237,4043.0,75.0,4-7 years,0
Female,49105,,44.0,1-3 years,1
Male,34687,2492.0,94.0,8+ years,0
Non-Binary,38980,2329.0,44.0,4-7 years,0
Male,35071,1920.0,57.0,< 1 year,1
Male,46623,1520.0,98.0,4-7 years,0
Female,37995,2802.0,63.0,8+ years,1
Non-Binary,40977,1380.0,31.0,4-7 years,1
Female,44630,2294.0,73.0,1-3 years,0
Female,59270,3033.0,74.0,8+ years,0
Female,61371,3212.0,96.0,1-3 years,0
Male,57945,2635.0,,8+ years,1
Male,61119,2360.0,61.0,1-3 years,0
Male,28405,,94.0,1-3 years,1
Male,55820,1632.0,67.0,< 1 year,0
Non-Binary,56584,1914.0,57.0,1-3 years,0
Male,42437,2464.0,68.0,4-7 years,1
Non-Binary,55531,500.0,,< 1 year,0
Female,40301,3377.0,88.0,4-7 years,0
Non-Binary,32305,2815.0,58.0,< 1 year,1
Non-Binary,44430,2587.0,44.0,< 1 year,1
Non-Binary,68526,2893.0,42.0,< 1 year,1
Non-Binary,57924,3069.0,55.0,< 1 year,0
Male,79780,2165.0,53.0,< 1 year,1
Female,40660,2982.0,77.0,8+ years,0
Female,20179,2571.0,66.0,< 1 year,1
Non-Binary,52115,2675.0,100.0,4-7 years,0
Female,33033,1652.0,97.0,1-3 years,0
Male,46232,857.0,51.0,< 1 year,0
Female,63239,791.0,90.0,8+ years,0
Non-Binary,39407,2956.0,87.0,< 1 year,0
Non-Binary,65397,3013.0,54.0,4-7 years,1
Non-Binary,44739,859.0,61.0,1-3 years,0
Female,49011,2268.0,58.0,< 1 year,1
Non-Binary,40862,1300.0,74.0,< 1 year,0
Female,51393,1855.0,,< 1 year,0
Male,75134,1987.0,,8+ years,0
Male,44501,2934.0,70.0,1-3 years,0
Female,42646,2338.0,100.0,1-3 years,0
Female,52420,,95.0,8+ years,1
Female,28092,1594.0,92.0,1-3 years,0
Male,42144,3295.0,59.0,8+ years,1
Male,47504,1916.0,89.0,8+ years,0
Female,48992,1433.0,70.0,1-3 years,0
Male,56998,2939.0,61.0,< 1 year,0
Non-Binary,47507,1511.0,71.0,< 1 year,0
Male,73572,1262.0,100.0,8+ years,0
Male,57589,2633.0,100.0,< 1 year,0
Non-Binary,55652,2508.0,45.0,< 1 year,1
Non-Binary,53765,1162.0,100.0,< 1 year,0
Female,51238,1655.0,100.0,1-3 years,0
Female,37425,2979.0,82.0,4-7 years,0
Female,35281,3044.0,91.0,8+ years,0
Male,52328,2753.0,91.0,< 1 year,0
Male,41127,3137.0,100.0,< 1 year,0
Female,28112,1461.0,100.0,4-7 years,0
Non-Binary,62698,2477.0,46.0,4-7 years,0
Female,76185,1120.0,88.0,< 1 year,0
Male,69497,3156.0,56.0,< 1 year,0
Male,67600,1684.0,70.0,1-3 years,0
Non-Binary,37899,3466.0,39.0,1-3 years,1
Female,47320,2547.0,77.0,4-7 years,0
Female,37346,1841.0,74.0,4-7 years,0
Non-Binary,38123,2139.0,76.0,< 1 year,0
Female,59323,2985.0,94.0,4-7 years,1
Male,31892,2244.0,77.0,< 1 year,0
Female,22995,,48.0,8+ years,1
Female,43073,2055.0,83.0,4-7 years,0
Female,65676,921.0,94.0,8+ years,0
Female,46861,2181.0,77.0,1-3 years,0
Male,54271,3338.0,,1-3 years,1
Non-Binary,60984,3182.0,65.0,< 1 year,0
Male,56257,3248.0,85.0,< 1 year,1
Female,44294,2323.0,78.0,8+ years,0
Non-Binary,34754,3368.0,68.0,8+ years,1
Male,61629,2283.0,79.0,8+ years,0
Female,35104,1155.0,65.0,< 1 year,0
Non-Binary,75894,3672.0,57.0,1-3 years,1
Female,45836,2324.0,68.0,8+ years,1
Male,42240,,100.0,8+ years,0
Female,41309,1488.0,94.0,< 1 year,0
Male,33909,1791.0,17.0,4-7 years,1
Non-Binary,60168,1676.0,100.0,4-7 years,0
Male,45116,1685.0,92.0,1-3 years,0
Non-Binary,64153,2882.0,46.0,4-7 years,1
Non-Binary,94978,1778.0,,< 1 year,0
Female,40749,2737.0,65.0,1-3 years,0
Female,29159,2308.0,100.0,4-7 years,0
Non-Binary,51144,1367.0,100.0,8+ years,0
Male,60767,2285.0,78.0,< 1 year,0
Male,67899,2333.0,100.0,1-3 years,0
Non-Binary,71956,2403.0,48.0,8+ years,1
Female,39171,1700.0,64.0,1-3 years,0
Male,68689,,76.0,8+ years,0
Female,41659,2856.0,80.0,1-3 years,0
Female,42454,2933.0,68.0,4-7 years,1
Male,52033,2204.0,70.0,1-3 years,0
Non-Binary,41663,2874.0,100.0,8+ years,1
Female,59053,2739.0,89.0,1-3 years,0
Male,47227,2980.0,56.0,8+ years,0
Female,46703,2192.0,64.0,8+ years,0
Male,61124,3576.0,71.0,8+ years,0
Female,61322,3052.0,25.0,4-7 years,1
Male,74431,2272.0,35.0,8+ years,1
Non-Binary,56320,2570.0,65.0,< 1 year,0
Male,58173,1746.0,,8+ years,0
Female,54666,2907.0,,< 1 year,0
Non-Binary,47944,1388.0,100.0,< 1 year,0
Male,83491,2088.0,74.0,4-7 years,0
Non-Binary,42543,3809.0,59.0,1-3 years,1
Non-Binary,63029,2178.0,53.0,8+ years,0
Female,40142,3406.0,100.0,4-7 years,0
Male,61670,2646.0,75.0,1-3 years,0
Female,33145,3078.0,76.0,4-7 years,0
Non-Binary,26264,2081.0,60.0,8+ years,1
Non-Binary,50907,4011.0,79.0,4-7 years,0
Non-Binary,39388,2867.0,69.0,8+ years,0
Male,70138,,100.0,< 1 year,0
Non-Binary,65620,2988.0,48.0,1-3 years,1
Male,56904,1831.0,100.0,4-7 years,1
Female,69933,3139.0,73.0,4-7 years,0
Non-Binary,71167,2956.0,77.0,4-7 years,0
Non-Binary,74470,3213.0,,< 1 year,0
Male,50296,2455.0,67.0,1-3 years,0
Female,61138,2749.0,70.0,1-3 years,0
Non-Binary,83814,3282.0,27.0,8+ years,0
Male,43521,2324.0,54.0,4-7 years,1
Non-Binary,15000,2390.0,52.0,1-3 years,1
Male,52898,1939.0,63.0,< 1 year,0
Female,40021,3701.0,100.0,1-3 years,0
Female,54424,629.0,62.0,1-3 years,0
Non-Binary,50743,4303.0,70.0,4-7 years,0
Male,49251,2291.0,82.0,8+ years,0
Male,66297,3131.0,62.0,< 1 year,0
Female,36519,2074.0,57.0,8+ years,1
Non-Binary,45644,2108.0,64.0,1-3 years,1
Female,50597,2680.0,76.0,< 1 year,0
Non-Binary,54745,1706.0,77.0,< 1 year,0
Non-Binary,54259,,36.0,8+ years,1
Non-Binary,69466,3240.0,75.0,8+ years,0
Non-Binary,46562,2022.0,86.0,1-3 years,0
Non-Binary,20914,2623.0,73.0,1-3 years,0
Non-Binary,69042,3651.0,83.0,1-3 years,0
Male,44066,3122.0,45.0,8+ years,1
Non-Binary,55527,1585.0,57.0,4-7 years,0
Non-Binary,58605,2083.0,53.0,8+ years,1
Female,55153,3028.0,72.0,1-3 years,1
Female,45502,,98.0,8+ years,0
Female,58950,2470.0,63.0,4-7 years,0
Female,39233,1000.0,51.0,1-3 years,0
Male,22287,4358.0,67.0,8+ years,0
Non-Binary,37549,954.0,39.0,4-7 years,0
Non-Binary,32965,2362.0,56.0,4-7 years,1
Non-Binary,36787,2771.0,70.0,1-3 years,0
Male,52158,2354.0,,1-3 years,0
Non-Binary,46997,3208.0,92.0,4-7 years,0
Non-Binary,37802,2723.0,71.0,4-7 years,0
Non-Binary,56217,3966.0,44.0,1-3 years,0
Non-Binary,50163,2684.0,48.0,1-3 years,1
Non-Binary,42549,1912.0,46.0,4-7 years,1
Non-Binary,45023,,88.0,< 1 year,0
Female,48165,2052.0,84.0,8+ years,0
Non-Binary,43835,1050.0,54.0,8+ years,0
Non-Binary,54731,1671.0,83.0,4-7 years,0
Female,35856,2092.0,19.0,< 1 year,0
Non-Binary,25478,,100.0,< 1 year,0
Male,62840,2295.0,100.0,8+ years,0
Male,43848,,80.0,< 1 year,0
Non-Binary,40237,3428.0,66.0,< 1 year,1
Male,76001,3722.0,90.0,4-7 years,0
Male,48210,2579.0,74.0,4-7 years,0
Non-Binary,52808,,86.0,4-7 years,0
Male,61483,1689.0,92.0,< 1 year,0
Non-Binary,50937,2572.0,77.0,4-7 years,0
Male,66973,1989.0,76.0,< 1 year,0
Female,71477,,0.0,8+ years,1
Male,70552,1889.0,,1-3 years,0
Non-Binary,61184,1252.0,53.0,8+ years,0
Male,57147,1953.0,,4-7 years,0
Non-Binary,44400,2691.0,100.0,< 1 year,0
Female,20430,,52.0,8+ years,1
Female,51535,2859.0,93.0,4-7 years,0
Non-Binary,44804,2295.0,79.0,< 1 year,0
Male,45510,4248.0,70.0,4-7 years,0
Male,63026,500.0,76.0,8+ years,0
Male,67841,3130.0,93.0,4-7 years,0
Non-Binary,37194,2281.0,100.0,1-3 years,0
Non-Binary,49391,3570.0,,1-3 years,1
Female,28804,3073.0,100.0,8+ years,0
Male,45859,1655.0,37.0,< 1 year,0
Male,36621,4583.0,92.0,1-3 years,0
Non-Binary,47152,2715.0,64.0,< 1 year,0
Female,65620,2485.0,62.0,< 1 year,0
Female,55037,1645.0,59.0,4-7 years,1
Non-Binary,63890,2637.0,86.0,4-7 years,0
Male,44017,2189.0,52.0,1-3 years,1
Non-Binary,57670,1180.0,89.0,4-7 years,1
Male,39035,3408.0,68.0,4-7 years,0
Female,61493,3973.0,77.0,1-3 years,0
Male,54274,1680.0,62.0,1-3 years,0
Female,22125,4406.0,72.0,< 1 year,1
Non-Binary,65235,3321.0,100.0,4-7 years,0
Female,49527,946.0,44.0,4-7 years,0
Male,41176,2611.0,91.0,4-7 years,0
Non-Binary,63971,,63.0,1-3 years,0
Male,42382,2287.0,56.0,< 1 year,1
Non-Binary,92474,3658.0,88.0,1-3 years,0
Female,42747,3172.0,58.0,8+ years,1
Male,44606,3654.0,37.0,4-7 years,1
Male,52986,3830.0,71.0,1-3 years,1
Non-Binary,48348,3130.0,84.0,4-7 years,0
Female,46801,,95.0,4-7 years,0
Female,49658,3078.0,69.0,1-3 years,0
Non-Binary,54231,2362.0,76.0,8+ years,0
Non-Binary,51759,3620.0,100.0,< 1 year,0
Male,46353,,86.0,4-7 years,0
Female,60409,2989.0,66.0,1-3 years,0
Non-Binary,84901,3264.0,73.0,1-3 years,0
Male,38643,2993.0,52.0,4-7 years,0
Female,29116,2151.0,92.0,< 1 year,0
Female,49219,2586.0,96.0,4-7 years,0
Non-Binary,46209,1767.0,79.0,4-7 years,0
Male,15389,2129.0,53.0,4-7 years,1
Non-Binary,64144,2684.0,77.0,8+ years,0
Female,48676,1333.0,77.0,< 1 year,0
Female,64561,,63.0,1-3 years,0
Female,29959,2446.0,86.0,< 1 year,0
Male,39439,3216.0,93.0,1-3 years,0
Non-Binary,54529,2854.0,,< 1 year,0
Non-Binary,55507,3431.0,87.0,< 1 year,0
Male,49460,,100.0,1-3 years,0
Non-Binary,42593,2467.0,72.0,8+ years,0
Male,67096,,54.0,1-3 years,1
Non-Binary,51028,2574.0,64.0,8+ years,1
Non-Binary,44349,2858.0,81.0,< 1 year,0
Non-Binary,43025,1804.0,87.0,1-3 years,0
Male,51512,2152.0,100.0,8+ years,0
Non-Binary,40504,2436.0,62.0,4-7 years,0
Male,63115,2671.0,71.0,< 1 year,0
Male,51638,2908.0,59.0,< 1 year,1
Male,72991,1516.0,70.0,4-7 years,0
Non-Binary,54821,1819.0,88.0,< 1 year,0
Non-Binary,85144,,55.0,1-3 years,1
Female,34371,2000.0,52.0,8+ years,1
Female,53785,2770.0,88.0,8+ years,0
Non-Binary,40743,770.0,84.0,8+ years,0
Female,31742,,86.0,4-7 years,0
Male,33867,2047.0,73.0,8+ years,0
Non-Binary,75063,2126.0,66.0,< 1 year,0
Non-Binary,54287,1258.0,100.0,< 1 year,0
Non-Binary,31784,2384.0,96.0,< 1 year,1
Non-Binary,80690,1440.0,100.0,< 1 year,0
Non-Binary,63357,1630.0,85.0,< 1 year,0
Female,60199,,72.0,< 1 year,0
Female,38336,3047.0,62.0,4-7 years,1
Non-Binary,25301,3351.0,100.0,< 1 year,0
Female,39580,2026.0,100.0,8+ years,0
Female,57578,1829.0,62.0,8+ years,0
Non-Binary,60903,3181.0,,< 1 year,0
Female,39812,2685.0,56.0,1-3 years,0
Non-Binary,71326,3326.0,64.0,1-3 years,0
Male,44575,1687.0,40.0,8+ years,0
Non-Binary,36170,2284.0,60.0,4-7 years,0
Non-Binary,38770,1345.0,84.0,1-3 years,0
Female,61598,2120.0,81.0,4-7 years,0
Male,61578,3858.0,81.0,1-3 years,0
Male,61691,2310.0,19.0,< 1 year,1
Male,52911,4041.0,76.0,8+ years,0
Non-Binary,69682,2246.0,,< 1 year,0
Female,51323,2506.0,93.0,1-3 years,0
Non-Binary,54718,,73.0,4-7 years,0
Male,45981,3067.0,,8+ years,0
Non-Binary,55127,,61.0,1-3 years,0
Male,70456,2921.0,83.0,1-3 years,0
Male,26166,2699.0,69.0,4-7 years,1
Male,49826,2824.0,75.0,< 1 year,0
Male,37195,2629.0,100.0,< 1 year,0
Non-Binary,54609,2005.0,42.0,8+ years,0
Non-Binary,61446,2121.0,38.0,< 1 year,1
Female,36604,2332.0,100.0,< 1 year,0
Female,25363,2246.0,77.0,< 1 year,0
Male,45456,3338.0,53.0,8+ years,1
Female,49144,2173.0,68.0,4-7 years,0
Male,90789,2835.0,87.0,1-3 years,0
Male,69066,1907.0,25.0,4-7 years,1
Non-Binary,45114,2965.0,79.0,< 1 year,0
Male,49497,4470.0,72.0,4-7 years,0
Female,53324,3767.0,59.0,8+ years,0
Female,53313,,,4-7 years,0
Non-Binary,46907,3268.0,87.0,1-3 years,0
Non-Binary,41733,2539.0,71.0,4-7 years,0
Female,31652,1565.0,100.0,8+ years,0
Male,34965,1923.0,89.0,< 1 year,0
Female,64404,1883.0,97.0,1-3 years,0
Male,54772,1070.0,100.0,8+ years,0
Female,47962,,53.0,4-7 years,1
Male,60422,3456.0,91.0,4-7 years,0
Female,45819,2601.0,100.0,8+ years,0
Female,28207,3275.0,79.0,4-7 years,0
Female,33215,1950.0,82.0,8+ years,0
Non-Binary,63978,3343.0,81.0,< 1 year,0
Male,46865,3221.0,79.0,< 1 year,0
Female,50348,3520.0,100.0,1-3 years,0
Non-Binary,26690,3164.0,92.0,1-3 years,0
Female,48926,2657.0,30.0,< 1 year,1
Non-Binary,59658,2661.0,85.0,< 1 year,0
Male,50206,500.0,52.0,< 1 year,0
Non-Binary,50442,1555.0,100.0,8+ years,0
Non-Binary,43183,2611.0,86.0,1-3 years,0
Male,78164,,79.0,4-7 years,0
Non-Binary,58137,1374.0,40.0,8+ years,1
Non-Binary,68615,2953.0,87.0,1-3 years,0
Female,46757,3269.0,,8+ years,0
Male,56162,2756.0,72.0,4-7 years,0
Male,46338,1121.0,79.0,8+ years,0
Non-Binary,45231,2395.0,80.0,< 1 year,0
Female,22434,1980.0,67.0,4-7 years,0
Non-Binary,74171,1314.0,59.0,< 1 year,0
Non-Binary,74801,1109.0,100.0,1-3 years,0
Non-Binary,50510,2282.0,35.0,1-3 years,0
Non-Binary,47344,2937.0,90.0,1-3 years,0
Female,52428,2199.0,61.0,1-3 years,0
Male,71038,2631.0,70.0,1-3 years,0
Non-Binary,66571,1463.0,51.0,8+ years,1
Female,51946,3985.0,39.0,< 1 year,0
Male,52786,3123.0,67.0,8+ years,0
Male,75527,2075.0,50.0,< 1 year,1
Female,40879,3413.0,98.0,4-7 years,0
Male,49427,1710.0,51.0,< 1 year,1
Non-Binary,33941,2680.0,87.0,1-3 years,0
Non-Binary,47513,2208.0,100.0,4-7 years,0
Female,45758,2279.0,51.0,8+ years,0
Female,23212,2780.0,,< 1 year,1
Male,70842,3450.0,,4-7 years,0
Male,34694,1900.0,97.0,4-7 years,0
Non-Binary,38996,2476.0,84.0,4-7 years,0
Non-Binary,63509,2788.0,78.0,1-3 years,0
Female,48754,2552.0,69.0,8+ years,0
Female,45975,3910.0,92.0,< 1 year,0
Non-Binary,55977,1980.0,92.0,4-7 years,0
Female,28605,2178.0,65.0,1-3 years,1
Non-Binary,46257,2015.0,65.0,8+ years,0
Female,56323,,43.0,4-7 years,0
Female,36519,3075.0,73.0,8+ years,0
Non-Binary,47693,3275.0,100.0,< 1 year,1
Non-Binary,44508,3035.0,100.0,1-3 years,0
Female,35948,1924.0,73.0,1-3 years,0
Male,55117,2606.0,42.0,< 1 year,0
Non-Binary,24776,3613.0,69.0,4-7 years,1
Male,56169,1822.0,75.0,1-3 years,0
Male,31508,2416.0,96.0,1-3 years,0
Female,50559,2233.0,69.0,< 1 year,0
Non-Binary,33633,2384.0,100.0,1-3 years,0
Female,56773,,100.0,4-7 years,0
Non-Binary,58434,2269.0,88.0,< 1 year,0
Female,44180,2289.0,68.0,8+ years,0
Female,51370,3202.0,44.0,1-3 years,1
Non-Binary,59955,2743.0,53.0,1-3 years,0
Non-Binary,61350,1953.0,65.0,8+ years,0
Male,37350,2628.0,66.0,1-3 years,0
Male,40515,3467.0,82.0,1-3 years,0
Non-Binary,38805,1843.0,70.0,1-3 years,0
Male,56230,1909.0,35.0,< 1 year,0
Non-Binary,26272,3160.0,100.0,1-3 years,1
Male,57891,2481.0,69.0,1-3 years,0
Female,31577,3014.0,47.0,1-3 years,1
Non-Binary,47498,2849.0,59.0,8+ years,1
Non-Binary,52335,1710.0,87.0,< 1 year,0
Non-Binary,51268,2895.0,100.0,4-7 years,0
Male,59146,2377.0,100.0,1-3 years,0
Female,67101,2042.0,37.0,8+ years,1
Female,42611,2647.0,81.0,1-3 years,0
Male,60397,1049.0,87.0,8+ years,0
Non-Binary,47766,3340.0,,1-3 years,1
Non-Binary,46638,2232.0,93.0,1-3 years,0
Non-Binary,55851,2317.0,88.0,4-7 years,0
Male,28824,2609.0,79.0,4-7 years,0
Female,40307,3683.0,61.0,< 1 year,1
Male,71929,2049.0,100.0,8+ years,0
Female,52507,2321.0,68.0,1-3 years,0
Male,72536,3807.0,68.0,< 1 year,0
Male,41824,2008.0,100.0,8+ years,0
Male,45325,1602.0,94.0,< 1 year,0
Male,51710,2581.0,,8+ years,0
Non-Binary,75826,3168.0,59.0,< 1 year,0
Non-Binary,59480,946.0,71.0,< 1 year,0
Male,34664,3436.0,69.0,8+ years,1
Non-Binary,57126,1461.0,24.0,1-3 years,1
Non-Binary,54232,1915.0,72.0,< 1 year,0
Non-Binary,26490,1912.0,71.0,8+ years,0
Non-Binary,61988,3989.0,80.0,8+ years,0
Female,45567,3055.0,66.0,< 1 year,0
Non-Binary,68075,1390.0,72.0,8+ years,0
Male,51559,2816.0,75.0,8+ years,0
Female,61163,1947.0,94.0,4-7 years,0
Non-Binary,47477,1312.0,100.0,< 1 year,0
Female,44269,2273.0,73.0,1-3 years,0
Female,50067,1597.0,73.0,8+ years,0
Male,46972,2363.0,,< 1 year,1
Female,42797,2408.0,45.0,8+ years,1
Female,58819,1674.0,88.0,1-3 years,0
Male,38551,2958.0,100.0,< 1 year,0
Non-Binary,62872,2792.0,98.0,< 1 year,0
Non-Binary,82817,3734.0,68.0,< 1 year,0
Female,31144,3641.0,64.0,1-3 years,1
Non-Binary,49875,2741.0,100.0,4-7 years,0
Female,40150,1978.0,76.0,4-7 years,0
Male,62458,2221.0,51.0,1-3 years,1
Female,60374,2134.0,55.0,4-7 years,1
Female,46286,2100.0,68.0,8+ years,0
Non-Binary,67329,1366.0,100.0,4-7 years,0
Non-Binary,63384,2858.0,100.0,4-7 years,0
Non-Binary,58308,2659.0,99.0,8+ years,0
Male,67932,2241.0,75.0,8+ years,0
Non-Binary,65664,3167.0,85.0,8+ years,0
Male,50752,3601.0,31.0,4-7 years,1
Non-Binary,30666,2557.0,88.0,8+ years,0
Female,51851,1848.0,86.0,4-7 years,0
Non-Binary,66916,3376.0,,4-7 years,0
Non-Binary,29152,,71.0,8+ years,0
Non-Binary,67754,1743.0,74.0,1-3 years,0
Non-Binary,45564,1136.0,,< 1 year,0
Non-Binary,44800,2828.0,55.0,1-3 years,0
Female,56944,2960.0,69.0,1-3 years,0
Male,45057,3211.0,100.0,1-3 years,0
Non-Binary,43877,2418.0,88.0,8+ years,0
Female,57815,2268.0,89.0,< 1 year,0
Male,56089,2773.0,53.0,8+ years,1
Non-Binary,52668,,100.0,< 1 year,0
Male,70864,2073.0,54.0,1-3 years,1
Female,39502,3145.0,70.0,8+ years,0
Male,49432,2447.0,40.0,< 1 year,1
Female,49700,788.0,71.0,1-3 years,0
Female,52416,2777.0,54.0,< 1 year,1
Non-Binary,29053,2224.0,100.0,< 1 year,0
Non-Binary,76962,2119.0,65.0,8+ years,0
Female,41606,2315.0,74.0,4-7 years,0
Non-Binary,67788,,79.0,< 1 year,0
Male,65298,3117.0,66.0,8+ years,0
Female,59558,2926.0,62.0,< 1 year,0
Male,70033,,93.0,4-7 years,1
Male,38497,2169.0,,< 1 year,1
Non-Binary,49171,1938.0,54.0,1-3 years,1
Non-Binary,29586,2644.0,65.0,1-3 years,1
Non-Binary,42594,,73.0,< 1 year,0
Female,59124,,85.0,1-3 years,0
Non-Binary,26932,2390.0,79.0,< 1 year,0
Male,63729,2447.0,74.0,< 1 year,0
Female,31719,1747.0,66.0,8+ years,0
Female,60957,1159.0,58.0,8+ years,0
Female,65126,1918.0,71.0,1-3 years,0
Non-Binary,39461,1623.0,100.0,< 1 year,0
Non-Binary,48226,1474.0,67.0,< 1 year,0
Male,38003,3038.0,70.0,4-7 years,0
Non-Binary,23110,,100.0,4-7 years,0
Female,32987,3326.0,61.0,4-7 years,1
Male,23999,2569.0,54.0,1-3 years,0
Female,34880,3061.0,78.0,8+ years,0
Non-Binary,15000,4052.0,76.0,< 1 year,1
Female,26196,2825.0,100.0,1-3 years,0
Female,33061,2273.0,66.0,< 1 year,0
Non-Binary,53949,1649.0,83.0,< 1 year,0
Non-Binary,64702,3880.0,84.0,4-7 years,0
Female,54961,2798.0,79.0,< 1 year,0
Non-Binary,67485,3379.0,84.0,4-7 years,1
Non-Binary,68171,2431.0,72.0,4-7 years,0
Non-Binary,28952,1553.0,67.0,8+ years,0
Female,39613,2175.0,76.0,8+ years,0
Male,27778,3071.0,59.0,4-7 years,1
Female,47703,2985.0,,8+ years,0
Non-Binary,47354,1722.0,49.0,< 1 year,0
Female,61697,2330.0,75.0,< 1 year,0
Female,45254,2654.0,57.0,< 1 year,0
Female,45372,,81.0,1-3 years,0
Non-Binary,63246,2042.0,94.0,1-3 years,0
Female,52310,2234.0,81.0,8+ years,0
Female,50759,,54.0,< 1 year,1
Non-Binary,61905,,67.0,4-7 years,0
Male,56635,2536.0,71.0,4-7 years,0
Male,51562,2611.0,97.0,8+ years,0
Non-Binary,29487,4027.0,54.0,4-7 years,0
Male,29412,2460.0,63.0,1-3 years,1
Female,48972,2925.0,39.0,4-7 years,1
Female,40202,2625.0,74.0,1-3 years,0
Non-Binary,35988,2198.0,71.0,4-7 years,0
Male,41152,2793.0,59.0,1-3 years,0
Female,65957,,89.0,1-3 years,0
Male,48729,2474.0,78.0,1-3 years,0
Female,53421,2770.0,82.0,1-3 years,0
Male,62728,2185.0,43.0,1-3 years,1
Male,48890,,77.0,4-7 years,0
Male,34030,2158.0,67.0,< 1 year,0
Male,72337,1785.0,74.0,< 1 year,0
Non-Binary,60380,2176.0,50.0,8+ years,1
Non-Binary,38608,3206.0,85.0,< 1 year,0
Non-Binary,56382,2591.0,92.0,< 1 year,0
Female,45277,2128.0,91.0,4-7 years,0
Non-Binary,22314,4121.0,92.0,4-7 years,0
Female,35039,1709.0,43.0,4-7 years,1
Female,46373,2413.0,91.0,1-3 years,0
Non-Binary,50439,1945.0,66.0,4-7 years,1
Female,33334,,100.0,1-3 years,0
Non-Binary,25908,2915.0,62.0,1-3 years,0
Male,46275,3092.0,71.0,8+ years,0
Female,49989,2398.0,70.0,< 1 year,0
Non-Binary,63720,2541.0,95.0,4-7 years,0
Female,42582,3102.0,68.0,1-3 years,0
Female,51441,1500.0,,< 1 year,0
Non-Binary,24105,2457.0,83.0,8+ years,0
Female,49948,3760.0,37.0,< 1 year,1
Male,44384,3457.0,59.0,1-3 years,1
Female,46447,3335.0,86.0,< 1 year,0
Female,39777,2917.0,50.0,4-7 years,1
Non-Binary,49569,3456.0,65.0,4-7 years,0
Male,56032,2101.0,59.0,4-7 years,0
Male,70642,3081.0,76.0,4-7 years,0
Female,64981,1678.0,71.0,4-7 years,0
Female,67176,3292.0,72.0,1-3 years,0
Female,53726,2176.0,35.0,8+ years,1
Male,66688,,79.0,8+ years,1
Non-Binary,31798,2860.0,100.0,4-7 years,0
Female,42591,2176.0,95.0,8+ years,0
Female,68789,1130.0,82.0,8+ years,0
Male,34165,2853.0,78.0,1-3 years,0
Non-Binary,49720,,100.0,1-3 years,0
Male,64302,2125.0,59.0,4-7 years,0
Male,67278,2482.0,74.0,8+ years,0
Female,54397,2044.0,100.0,1-3 years,0
Male,50113,1926.0,99.0,1-3 years,0
Female,49329,2557.0,86.0,< 1 year,0
Male,48602,4324.0,60.0,8+ years,1
Female,38104,2231.0,,1-3 years,0
Non-Binary,39948,1819.0,79.0,4-7 years,0
Female,50640,2582.0,55.0,4-7 years,1
Female,51201,2340.0,76.0,< 1 year,1
Female,40488,2051.0,65.0,< 1 year,0
Non-Binary,15000,3246.0,100.0,1-3 years,0
Male,35769,2229.0,100.0,1-3 years,0
Female,28089,,51.0,8+ years,1
Non-Binary,58115,2964.0,33.0,< 1 year,1
Female,54582,2370.0,76.0,4-7 years,0
Female,33326,2469.0,86.0,4-7 years,0
Female,41109,1919.0,72.0,4-7 years,0
Female,55285,3719.0,18.0,< 1 year,1
Female,50211,1146.0,90.0,< 1 year,0
Female,39595,2825.0,95.0,1-3 years,0
Non-Binary,34422,2194.0,81.0,1-3 years,0
Female,47186,3213.0,50.0,4-7 years,1
Female,36841,2707.0,75.0,8+ years,0
Non-Binary,39052,4132.0,100.0,8+ years,0
Male,50540,2061.0,70.0,8+ years,0
Non-Binary,50976,1374.0,73.0,4-7 years,0
Female,62962,2579.0,58.0,1-3 years,1
Male,55967,2550.0,70.0,4-7 years,0
Female,41486,,89.0,8+ years,0
Male,68851,3041.0,78.0,< 1 year,0
Male,74776,1171.0,92.0,4-7 years,0
Male,71572,2608.0,73.0,4-7 years,0
Female,48376,2649.0,,4-7 years,0
Non-Binary,50296,2193.0,56.0,4-7 years,0
Non-Binary,56031,1697.0,99.0,8+ years,0
Female,52507,3687.0,54.0,8+ years,1
Female,64073,1165.0,61.0,8+ years,0
Female,35642,3293.0,37.0,1-3 years,0
Male,29146,1160.0,70.0,< 1 year,0
